source_symbol,source_organism,ensg,ortholog_ensg,target_symbol,target_organism,description
AHNAK2,human,ENSG00000185567,ENSMUSG00000118667,Ahnak2,mouse,AHNAK nucleoprotein 2 [Source:MGI Symbol;Acc:MGI:2144831]
LRP1,human,ENSG00000123384,ENSMUSG00000040249,Lrp1,mouse,low density lipoprotein receptor-related protein 1 [Source:MGI Symbol;Acc:MGI:96828]
BAG6,human,ENSG00000204463,ENSMUSG00000024392,Bag6,mouse,BCL2-associated athanogene 6 [Source:MGI Symbol;Acc:MGI:1919439]
Eprs,human,,,,mouse,
RPS16,human,ENSG00000105193,ENSMUSG00000037563,Rps16,mouse,ribosomal protein S16 [Source:MGI Symbol;Acc:MGI:98118]
PRKAA1,human,ENSG00000132356,ENSMUSG00000050697,Prkaa1,mouse,"protein kinase, AMP-activated, alpha 1 catalytic subunit [Source:MGI Symbol;Acc:MGI:2145955]"
CTGF,human,,,,mouse,
RNF2,human,ENSG00000121481,ENSMUSG00000026484,Rnf2,mouse,ring finger protein 2 [Source:MGI Symbol;Acc:MGI:1101759]
TJAP1,human,ENSG00000137221,ENSMUSG00000012296,Tjap1,mouse,tight junction associated protein 1 [Source:MGI Symbol;Acc:MGI:1921344]
WDFY3,human,ENSG00000163625,ENSMUSG00000043940,Wdfy3,mouse,WD repeat and FYVE domain containing 3 [Source:MGI Symbol;Acc:MGI:1096875]
PGAM1,human,ENSG00000171314,ENSMUSG00000011752,Pgam1,mouse,phosphoglycerate mutase 1 [Source:MGI Symbol;Acc:MGI:97552]
AIMP1,human,ENSG00000164022,ENSMUSG00000028029,Aimp1,mouse,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 [Source:MGI Symbol;Acc:MGI:102774]
HNRNPUL2,human,ENSG00000214753,ENSMUSG00000071659,Hnrnpul2,mouse,heterogeneous nuclear ribonucleoprotein U-like 2 [Source:MGI Symbol;Acc:MGI:1915943]
HNRNPUL2,human,ENSG00000214753,ENSMUSG00000118124,Gm50139,mouse,"predicted gene, 50139 [Source:MGI Symbol;Acc:MGI:6302888]"
TMEM167B,human,ENSG00000215717,,,mouse,
H2AFV,human,,,,mouse,
WBSCR16,human,,,,mouse,
SRFBP1,human,ENSG00000151304,ENSMUSG00000024528,Srfbp1,mouse,serum response factor binding protein 1 [Source:MGI Symbol;Acc:MGI:1914472]
PTGES2,human,ENSG00000148334,ENSMUSG00000026820,Ptges2,mouse,prostaglandin E synthase 2 [Source:MGI Symbol;Acc:MGI:1917592]
Cfap58,human,ENSG00000120051,ENSMUSG00000046585,Cfap58,mouse,cilia and flagella associated protein 58 [Source:MGI Symbol;Acc:MGI:2685815]
Grb2,human,ENSG00000177885,ENSMUSG00000059923,Grb2,mouse,growth factor receptor bound protein 2 [Source:MGI Symbol;Acc:MGI:95805]
Uqcrq,human,ENSG00000164405,ENSMUSG00000044894,Uqcrq,mouse,"ubiquinol-cytochrome c reductase, complex III subunit VII [Source:MGI Symbol;Acc:MGI:107807]"
Ccnh,human,ENSG00000134480,ENSMUSG00000021548,Ccnh,mouse,cyclin H [Source:MGI Symbol;Acc:MGI:1913921]
FOSL1,human,ENSG00000175592,ENSMUSG00000024912,Fosl1,mouse,fos-like antigen 1 [Source:MGI Symbol;Acc:MGI:107179]
NAV3,human,ENSG00000067798,ENSMUSG00000020181,Nav3,mouse,neuron navigator 3 [Source:MGI Symbol;Acc:MGI:2183703]
GSR,human,ENSG00000104687,ENSMUSG00000031584,Gsr,mouse,glutathione reductase [Source:MGI Symbol;Acc:MGI:95804]
C2cd5,human,ENSG00000111731,ENSMUSG00000030279,C2cd5,mouse,C2 calcium-dependent domain containing 5 [Source:MGI Symbol;Acc:MGI:1921991]
Tmpo,human,ENSG00000120802,,,mouse,
IKBIP,human,ENSG00000166130,ENSMUSG00000019975,Ikbip,mouse,IKBKB interacting protein [Source:MGI Symbol;Acc:MGI:1914704]
AKR1C1,human,ENSG00000187134,,,mouse,
FSCN1,human,ENSG00000075618,ENSMUSG00000029581,Fscn1,mouse,fascin actin-bundling protein 1 [Source:MGI Symbol;Acc:MGI:1352745]
RAB8A,human,ENSG00000167461,ENSMUSG00000003037,Rab8a,mouse,"RAB8A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:96960]"
BRD3,human,ENSG00000169925,ENSMUSG00000026918,Brd3,mouse,bromodomain containing 3 [Source:MGI Symbol;Acc:MGI:1914632]
TUBGCP2,human,ENSG00000130640,ENSMUSG00000025474,Tubgcp2,mouse,"tubulin, gamma complex associated protein 2 [Source:MGI Symbol;Acc:MGI:1921487]"
Hnrnpa3,human,ENSG00000170144,,,mouse,
CORO7-PAM16,human,ENSG00000103426,ENSMUSG00000039637,Coro7,mouse,coronin 7 [Source:MGI Symbol;Acc:MGI:1926135]
SEC24D,human,ENSG00000150961,ENSMUSG00000039234,Sec24d,mouse,"Sec24 related gene family, member D (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1916858]"
RASA1,human,ENSG00000145715,ENSMUSG00000021549,Rasa1,mouse,RAS p21 protein activator 1 [Source:MGI Symbol;Acc:MGI:97860]
Eif2s2,human,ENSG00000125977,ENSMUSG00000074656,Eif2s2,mouse,"eukaryotic translation initiation factor 2, subunit 2 (beta) [Source:MGI Symbol;Acc:MGI:1914454]"
Ppp1r8,human,ENSG00000117751,ENSMUSG00000028882,Ppp1r8,mouse,"protein phosphatase 1, regulatory subunit 8 [Source:MGI Symbol;Acc:MGI:2140494]"
Ufd1l,human,,,,mouse,
SLC20A2,human,ENSG00000168575,ENSMUSG00000037656,Slc20a2,mouse,"solute carrier family 20, member 2 [Source:MGI Symbol;Acc:MGI:97851]"
COG5,human,ENSG00000164597,ENSMUSG00000035933,Cog5,mouse,component of oligomeric golgi complex 5 [Source:MGI Symbol;Acc:MGI:2145130]
Shoc2,human,ENSG00000108061,ENSMUSG00000024976,Shoc2,mouse,"Shoc2, leucine rich repeat scaffold protein [Source:MGI Symbol;Acc:MGI:1927197]"
DNAJC13,human,ENSG00000138246,ENSMUSG00000032560,Dnajc13,mouse,DnaJ heat shock protein family (Hsp40) member C13 [Source:MGI Symbol;Acc:MGI:2676368]
ITGA3,human,ENSG00000005884,ENSMUSG00000001507,Itga3,mouse,integrin alpha 3 [Source:MGI Symbol;Acc:MGI:96602]
Mpp5,human,,,,mouse,
GFM1,human,ENSG00000168827,ENSMUSG00000027774,Gfm1,mouse,"G elongation factor, mitochondrial 1 [Source:MGI Symbol;Acc:MGI:107339]"
Rheb,human,ENSG00000106615,ENSMUSG00000028945,Rheb,mouse,Ras homolog enriched in brain [Source:MGI Symbol;Acc:MGI:97912]
DHX38,human,ENSG00000140829,ENSMUSG00000037993,Dhx38,mouse,DEAH (Asp-Glu-Ala-His) box polypeptide 38 [Source:MGI Symbol;Acc:MGI:1927617]
EDC4,human,ENSG00000038358,ENSMUSG00000036270,Edc4,mouse,enhancer of mRNA decapping 4 [Source:MGI Symbol;Acc:MGI:2446249]
NAP1L4,human,ENSG00000205531,ENSMUSG00000059119,Nap1l4,mouse,nucleosome assembly protein 1-like 4 [Source:MGI Symbol;Acc:MGI:1316687]
Rab10,human,ENSG00000084733,ENSMUSG00000020671,Rab10,mouse,"RAB10, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105066]"
COPS4,human,ENSG00000138663,ENSMUSG00000035297,Cops4,mouse,COP9 signalosome subunit 4 [Source:MGI Symbol;Acc:MGI:1349414]
NDUFA3,human,ENSG00000170906,ENSMUSG00000035674,Ndufa3,mouse,NADH:ubiquinone oxidoreductase subunit A3 [Source:MGI Symbol;Acc:MGI:1913341]
ITGA8,human,ENSG00000077943,ENSMUSG00000026768,Itga8,mouse,integrin alpha 8 [Source:MGI Symbol;Acc:MGI:109442]
TM9SF4,human,ENSG00000101337,ENSMUSG00000068040,Tm9sf4,mouse,transmembrane 9 superfamily member 4 [Source:MGI Symbol;Acc:MGI:2139220]
FAM103A1,human,,,,mouse,
PSMB5,human,ENSG00000100804,ENSMUSG00000022193,Psmb5,mouse,"proteasome (prosome, macropain) subunit, beta type 5 [Source:MGI Symbol;Acc:MGI:1194513]"
GNA14,human,ENSG00000156049,ENSMUSG00000024697,Gna14,mouse,"guanine nucleotide binding protein, alpha 14 [Source:MGI Symbol;Acc:MGI:95769]"
STMN2,human,ENSG00000104435,ENSMUSG00000027500,Stmn2,mouse,stathmin-like 2 [Source:MGI Symbol;Acc:MGI:98241]
RPS29,human,ENSG00000213741,ENSMUSG00000034892,Rps29,mouse,ribosomal protein S29 [Source:MGI Symbol;Acc:MGI:107681]
PDAP1,human,ENSG00000106244,ENSMUSG00000029623,Pdap1,mouse,PDGFA associated protein 1 [Source:MGI Symbol;Acc:MGI:2448536]
FAM160B1,human,,,,mouse,
ITGB1,human,ENSG00000150093,ENSMUSG00000025809,Itgb1,mouse,integrin beta 1 (fibronectin receptor beta) [Source:MGI Symbol;Acc:MGI:96610]
Rbx1,human,ENSG00000100387,ENSMUSG00000022400,Rbx1,mouse,ring-box 1 [Source:MGI Symbol;Acc:MGI:1891829]
ACIN1,human,ENSG00000100813,ENSMUSG00000022185,Acin1,mouse,apoptotic chromatin condensation inducer 1 [Source:MGI Symbol;Acc:MGI:1891824]
RGD1564688,human,,,,mouse,
LYPLAL1,human,ENSG00000143353,ENSMUSG00000039246,Lyplal1,mouse,lysophospholipase-like 1 [Source:MGI Symbol;Acc:MGI:2385115]
Myo6,human,ENSG00000196586,ENSMUSG00000033577,Myo6,mouse,myosin VI [Source:MGI Symbol;Acc:MGI:104785]
HSPH1,human,ENSG00000120694,ENSMUSG00000029657,Hsph1,mouse,heat shock 105kDa/110kDa protein 1 [Source:MGI Symbol;Acc:MGI:105053]
BRIX1,human,ENSG00000113460,ENSMUSG00000022247,Brix1,mouse,"BRX1, biogenesis of ribosomes [Source:MGI Symbol;Acc:MGI:1915082]"
RPS14,human,ENSG00000164587,ENSMUSG00000024608,Rps14,mouse,ribosomal protein S14 [Source:MGI Symbol;Acc:MGI:98107]
RDH11,human,ENSG00000072042,ENSMUSG00000066441,Rdh11,mouse,retinol dehydrogenase 11 [Source:MGI Symbol;Acc:MGI:102581]
PML,human,ENSG00000140464,ENSMUSG00000036986,Pml,mouse,promyelocytic leukemia [Source:MGI Symbol;Acc:MGI:104662]
Uchl5,human,ENSG00000116750,ENSMUSG00000018189,Uchl5,mouse,ubiquitin carboxyl-terminal esterase L5 [Source:MGI Symbol;Acc:MGI:1914848]
RPL32,human,ENSG00000144713,ENSMUSG00000057841,Rpl32,mouse,ribosomal protein L32 [Source:MGI Symbol;Acc:MGI:98038]
LOC100910557,human,,,,mouse,
Dlg1,human,ENSG00000075711,ENSMUSG00000022770,Dlg1,mouse,discs large MAGUK scaffold protein 1 [Source:MGI Symbol;Acc:MGI:107231]
FAM83A,human,ENSG00000147689,ENSMUSG00000051225,Fam83a,mouse,"family with sequence similarity 83, member A [Source:MGI Symbol;Acc:MGI:2447773]"
HOOK2,human,ENSG00000095066,ENSMUSG00000052566,Hook2,mouse,hook microtubule tethering protein 2 [Source:MGI Symbol;Acc:MGI:2181664]
Rab2a,human,ENSG00000104388,ENSMUSG00000047187,Rab2a,mouse,"RAB2A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1928750]"
UBXN4,human,ENSG00000144224,ENSMUSG00000026353,Ubxn4,mouse,UBX domain protein 4 [Source:MGI Symbol;Acc:MGI:1915062]
Trim27,human,ENSG00000204713,ENSMUSG00000021326,Trim27,mouse,tripartite motif-containing 27 [Source:MGI Symbol;Acc:MGI:97904]
QARS,human,,,,mouse,
RBM8A,human,ENSG00000265241,ENSMUSG00000038374,Rbm8a,mouse,RNA binding motif protein 8a [Source:MGI Symbol;Acc:MGI:1913129]
RBM8A,human,ENSG00000265241,ENSMUSG00000078184,Rbm8a2,mouse,RNA binding motif protein 8A2 [Source:MGI Symbol;Acc:MGI:3612447]
PTP4A2,human,ENSG00000184007,ENSMUSG00000028788,Ptp4a2,mouse,protein tyrosine phosphatase 4a2 [Source:MGI Symbol;Acc:MGI:1277117]
LSG1,human,ENSG00000041802,ENSMUSG00000022538,Lsg1,mouse,large 60S subunit nuclear export GTPase 1 [Source:MGI Symbol;Acc:MGI:107236]
PIK3C3,human,ENSG00000078142,ENSMUSG00000033628,Pik3c3,mouse,phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:MGI Symbol;Acc:MGI:2445019]
Vti1a,human,ENSG00000151532,ENSMUSG00000024983,Vti1a,mouse,vesicle transport through interaction with t-SNAREs 1A [Source:MGI Symbol;Acc:MGI:1855699]
URI1,human,ENSG00000105176,ENSMUSG00000030421,Uri1,mouse,"URI1, prefoldin-like chaperone [Source:MGI Symbol;Acc:MGI:1342294]"
C4orf27,human,,,,mouse,
MON1B,human,ENSG00000103111,ENSMUSG00000078908,Mon1b,mouse,"MON1 homolog B, secretory traffciking associated [Source:MGI Symbol;Acc:MGI:1923231]"
RGD1563613,human,,,,mouse,
Sep 07,human,,,,mouse,
TBC1D15,human,ENSG00000121749,ENSMUSG00000020130,Tbc1d15,mouse,"TBC1 domain family, member 15 [Source:MGI Symbol;Acc:MGI:1913937]"
MDP1,human,ENSG00000213920,,,mouse,
PRKCSH,human,ENSG00000130175,ENSMUSG00000003402,Prkcsh,mouse,protein kinase C substrate 80K-H [Source:MGI Symbol;Acc:MGI:107877]
GRAMD3,human,,,,mouse,
Ralgps2,human,ENSG00000116191,ENSMUSG00000026594,Ralgps2,mouse,Ral GEF with PH domain and SH3 binding motif 2 [Source:MGI Symbol;Acc:MGI:1925505]
LGALS3,human,ENSG00000131981,ENSMUSG00000050335,Lgals3,mouse,"lectin, galactose binding, soluble 3 [Source:MGI Symbol;Acc:MGI:96778]"
Tpm3,human,ENSG00000143549,,,mouse,
LOC310177,human,,,,mouse,
STXBP2,human,ENSG00000076944,ENSMUSG00000004626,Stxbp2,mouse,syntaxin binding protein 2 [Source:MGI Symbol;Acc:MGI:107370]
Hdgfrp3,human,ENSG00000166503,ENSMUSG00000025104,Hdgfl3,mouse,HDGF like 3 [Source:MGI Symbol;Acc:MGI:1352760]
AP3D1,human,ENSG00000065000,ENSMUSG00000020198,Ap3d1,mouse,"adaptor-related protein complex 3, delta 1 subunit [Source:MGI Symbol;Acc:MGI:107734]"
Hba1,human,ENSG00000188536,ENSMUSG00000069917,Hba-a2,mouse,"hemoglobin alpha, adult chain 2 [Source:MGI Symbol;Acc:MGI:96016]"
Hba1,human,ENSG00000188536,ENSMUSG00000069919,Hba-a1,mouse,"hemoglobin alpha, adult chain 1 [Source:MGI Symbol;Acc:MGI:96015]"
Hba1,human,ENSG00000206172,ENSMUSG00000069917,Hba-a2,mouse,"hemoglobin alpha, adult chain 2 [Source:MGI Symbol;Acc:MGI:96016]"
Hba1,human,ENSG00000206172,ENSMUSG00000069919,Hba-a1,mouse,"hemoglobin alpha, adult chain 1 [Source:MGI Symbol;Acc:MGI:96015]"
SMC1A,human,ENSG00000072501,ENSMUSG00000041133,Smc1a,mouse,structural maintenance of chromosomes 1A [Source:MGI Symbol;Acc:MGI:1344345]
PSMB1,human,ENSG00000008018,ENSMUSG00000014769,Psmb1,mouse,"proteasome (prosome, macropain) subunit, beta type 1 [Source:MGI Symbol;Acc:MGI:104884]"
NUF2,human,ENSG00000143228,ENSMUSG00000026683,Nuf2,mouse,"NUF2, NDC80 kinetochore complex component [Source:MGI Symbol;Acc:MGI:1914227]"
KRIT1,human,ENSG00000001631,ENSMUSG00000000600,Krit1,mouse,"KRIT1, ankyrin repeat containing [Source:MGI Symbol;Acc:MGI:1930618]"
PHLDA1,human,ENSG00000139289,ENSMUSG00000020205,Phlda1,mouse,"pleckstrin homology like domain, family A, member 1 [Source:MGI Symbol;Acc:MGI:1096880]"
PDLIM5,human,ENSG00000163110,ENSMUSG00000028273,Pdlim5,mouse,PDZ and LIM domain 5 [Source:MGI Symbol;Acc:MGI:1927489]
HIST1H4A,human,,,,mouse,
VPS8,human,ENSG00000156931,ENSMUSG00000033653,Vps8,mouse,VPS8 CORVET complex subunit [Source:MGI Symbol;Acc:MGI:2146407]
NDFIP1,human,ENSG00000131507,ENSMUSG00000024425,Ndfip1,mouse,Nedd4 family interacting protein 1 [Source:MGI Symbol;Acc:MGI:1929601]
DNAAF5,human,ENSG00000164818,ENSMUSG00000025857,Dnaaf5,mouse,"dynein, axonemal assembly factor 5 [Source:MGI Symbol;Acc:MGI:3616079]"
ACBD5,human,ENSG00000107897,ENSMUSG00000026781,Acbd5,mouse,acyl-Coenzyme A binding domain containing 5 [Source:MGI Symbol;Acc:MGI:1921409]
APOD,human,ENSG00000189058,ENSMUSG00000022548,Apod,mouse,apolipoprotein D [Source:MGI Symbol;Acc:MGI:88056]
UFM1,human,ENSG00000120686,ENSMUSG00000027746,Ufm1,mouse,ubiquitin-fold modifier 1 [Source:MGI Symbol;Acc:MGI:1915140]
C9orf89,human,ENSG00000165233,ENSMUSG00000037960,Card19,mouse,"caspase recruitment domain family, member 19 [Source:MGI Symbol;Acc:MGI:1915730]"
PLEKHM2,human,ENSG00000116786,ENSMUSG00000028917,Plekhm2,mouse,"pleckstrin homology domain containing, family M (with RUN domain) member 2 [Source:MGI Symbol;Acc:MGI:1916832]"
ABCC1,human,ENSG00000103222,ENSMUSG00000023088,Abcc1,mouse,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1 [Source:MGI Symbol;Acc:MGI:102676]"
TGFBR2,human,ENSG00000163513,ENSMUSG00000032440,Tgfbr2,mouse,"transforming growth factor, beta receptor II [Source:MGI Symbol;Acc:MGI:98729]"
API5,human,ENSG00000166181,ENSMUSG00000027193,Api5,mouse,apoptosis inhibitor 5 [Source:MGI Symbol;Acc:MGI:1888993]
Ago1,human,ENSG00000092847,ENSMUSG00000041530,Ago1,mouse,argonaute RISC catalytic subunit 1 [Source:MGI Symbol;Acc:MGI:2446630]
USP9X,human,ENSG00000124486,ENSMUSG00000031010,Usp9x,mouse,"ubiquitin specific peptidase 9, X chromosome [Source:MGI Symbol;Acc:MGI:894681]"
SMARCE1,human,ENSG00000073584,ENSMUSG00000037935,Smarce1,mouse,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:MGI Symbol;Acc:MGI:1927347]"
PPL,human,ENSG00000118898,ENSMUSG00000039457,Ppl,mouse,periplakin [Source:MGI Symbol;Acc:MGI:1194898]
NUDCD1,human,ENSG00000120526,ENSMUSG00000038736,Nudcd1,mouse,NudC domain containing 1 [Source:MGI Symbol;Acc:MGI:1914679]
LOXL3,human,ENSG00000115318,ENSMUSG00000000693,Loxl3,mouse,lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]
AP3M1,human,ENSG00000185009,ENSMUSG00000021824,Ap3m1,mouse,"adaptor-related protein complex 3, mu 1 subunit [Source:MGI Symbol;Acc:MGI:1929212]"
B4GALT5,human,ENSG00000158470,ENSMUSG00000017929,B4galt5,mouse,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5 [Source:MGI Symbol;Acc:MGI:1927169]"
SGCB,human,ENSG00000163069,ENSMUSG00000029156,Sgcb,mouse,"sarcoglycan, beta (dystrophin-associated glycoprotein) [Source:MGI Symbol;Acc:MGI:1346523]"
ELOVL1,human,ENSG00000066322,ENSMUSG00000006390,Elovl1,mouse,"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1 [Source:MGI Symbol;Acc:MGI:1858959]"
PPIB,human,ENSG00000166794,ENSMUSG00000032383,Ppib,mouse,peptidylprolyl isomerase B [Source:MGI Symbol;Acc:MGI:97750]
BRCC3,human,ENSG00000185515,ENSMUSG00000031201,Brcc3,mouse,"BRCA1/BRCA2-containing complex, subunit 3 [Source:MGI Symbol;Acc:MGI:2389572]"
BRCC3,human,ENSG00000185515,ENSMUSG00000112039,Gm5136,mouse,predicted gene 5136 [Source:MGI Symbol;Acc:MGI:3647286]
PABPN1,human,ENSG00000100836,ENSMUSG00000022194,Pabpn1,mouse,"poly(A) binding protein, nuclear 1 [Source:MGI Symbol;Acc:MGI:1859158]"
TUBB4A,human,ENSG00000104833,ENSMUSG00000062591,Tubb4a,mouse,"tubulin, beta 4A class IVA [Source:MGI Symbol;Acc:MGI:107848]"
FTSJ3,human,ENSG00000108592,ENSMUSG00000020706,Ftsj3,mouse,FtsJ RNA methyltransferase homolog 3 (E. coli) [Source:MGI Symbol;Acc:MGI:1860295]
Aoc3,human,ENSG00000131471,ENSMUSG00000019326,Aoc3,mouse,"amine oxidase, copper containing 3 [Source:MGI Symbol;Acc:MGI:1306797]"
VPRBP,human,,,,mouse,
OSTM1,human,ENSG00000081087,ENSMUSG00000038280,Ostm1,mouse,osteopetrosis associated transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:2655574]
LNPEP,human,ENSG00000113441,ENSMUSG00000023845,Lnpep,mouse,leucyl/cystinyl aminopeptidase [Source:MGI Symbol;Acc:MGI:2387123]
TUBB8,human,ENSG00000261456,,,mouse,
SYNE2,human,ENSG00000054654,ENSMUSG00000063450,Syne2,mouse,"spectrin repeat containing, nuclear envelope 2 [Source:MGI Symbol;Acc:MGI:2449316]"
AZI2,human,ENSG00000163512,ENSMUSG00000039285,Azi2,mouse,5-azacytidine induced gene 2 [Source:MGI Symbol;Acc:MGI:1351332]
CLIP1,human,ENSG00000130779,ENSMUSG00000049550,Clip1,mouse,CAP-GLY domain containing linker protein 1 [Source:MGI Symbol;Acc:MGI:1928401]
PRDX1,human,ENSG00000117450,ENSMUSG00000028691,Prdx1,mouse,peroxiredoxin 1 [Source:MGI Symbol;Acc:MGI:99523]
EFEMP2,human,ENSG00000172638,ENSMUSG00000024909,Efemp2,mouse,epidermal growth factor-containing fibulin-like extracellular matrix protein 2 [Source:MGI Symbol;Acc:MGI:1891209]
Sdc4,human,ENSG00000124145,ENSMUSG00000017009,Sdc4,mouse,syndecan 4 [Source:MGI Symbol;Acc:MGI:1349164]
Hnrnpr,human,ENSG00000125944,ENSMUSG00000066037,Hnrnpr,mouse,heterogeneous nuclear ribonucleoprotein R [Source:MGI Symbol;Acc:MGI:1891692]
Chmp3,human,ENSG00000115561,ENSMUSG00000053119,Chmp3,mouse,charged multivesicular body protein 3 [Source:MGI Symbol;Acc:MGI:1913950]
Mmgt1,human,ENSG00000169446,ENSMUSG00000061273,Mmgt1,mouse,membrane magnesium transporter 1 [Source:MGI Symbol;Acc:MGI:2384305]
LOC100910678,human,,,,mouse,
UBQLN2,human,ENSG00000188021,ENSMUSG00000050148,Ubqln2,mouse,ubiquilin 2 [Source:MGI Symbol;Acc:MGI:1860283]
CPS1,human,ENSG00000021826,ENSMUSG00000025991,Cps1,mouse,carbamoyl-phosphate synthetase 1 [Source:MGI Symbol;Acc:MGI:891996]
ANXA1,human,ENSG00000135046,ENSMUSG00000024659,Anxa1,mouse,annexin A1 [Source:MGI Symbol;Acc:MGI:96819]
PCBP2,human,ENSG00000197111,ENSMUSG00000056851,Pcbp2,mouse,poly(rC) binding protein 2 [Source:MGI Symbol;Acc:MGI:108202]
CHD1L,human,ENSG00000131778,ENSMUSG00000028089,Chd1l,mouse,chromodomain helicase DNA binding protein 1-like [Source:MGI Symbol;Acc:MGI:1915308]
CLMP,human,ENSG00000166250,ENSMUSG00000032024,Clmp,mouse,CXADR-like membrane protein [Source:MGI Symbol;Acc:MGI:1918816]
ATL1,human,ENSG00000198513,ENSMUSG00000021066,Atl1,mouse,atlastin GTPase 1 [Source:MGI Symbol;Acc:MGI:1921241]
PPP2R5D,human,ENSG00000112640,ENSMUSG00000059409,Ppp2r5d,mouse,"protein phosphatase 2, regulatory subunit B', delta [Source:MGI Symbol;Acc:MGI:2388481]"
PUF60,human,ENSG00000179950,ENSMUSG00000002524,Puf60,mouse,poly-U binding splicing factor 60 [Source:MGI Symbol;Acc:MGI:1915209]
Thoc5,human,ENSG00000100296,ENSMUSG00000034274,Thoc5,mouse,THO complex 5 [Source:MGI Symbol;Acc:MGI:1351333]
HSPD1,human,ENSG00000144381,ENSMUSG00000025980,Hspd1,mouse,heat shock protein 1 (chaperonin) [Source:MGI Symbol;Acc:MGI:96242]
H2afv,human,,,,mouse,
CDC2,human,ENSG00000170312,ENSMUSG00000019942,Cdk1,mouse,cyclin-dependent kinase 1 [Source:MGI Symbol;Acc:MGI:88351]
G3BP2,human,ENSG00000138757,ENSMUSG00000029405,G3bp2,mouse,GTPase activating protein (SH3 domain) binding protein 2 [Source:MGI Symbol;Acc:MGI:2442040]
LOC100361644,human,,,,mouse,
ALB,human,ENSG00000163631,ENSMUSG00000029368,Alb,mouse,albumin [Source:MGI Symbol;Acc:MGI:87991]
ATP5D,human,,,,mouse,
Oxsr1,human,ENSG00000172939,ENSMUSG00000036737,Oxsr1,mouse,oxidative-stress responsive 1 [Source:MGI Symbol;Acc:MGI:1917378]
POLD3,human,ENSG00000077514,ENSMUSG00000030726,Pold3,mouse,"polymerase (DNA-directed), delta 3, accessory subunit [Source:MGI Symbol;Acc:MGI:1915217]"
PIP4K2B,human,ENSG00000276293,ENSMUSG00000018547,Pip4k2b,mouse,"phosphatidylinositol-5-phosphate 4-kinase, type II, beta [Source:MGI Symbol;Acc:MGI:1934234]"
NAA35,human,ENSG00000135040,ENSMUSG00000021555,Naa35,mouse,"N(alpha)-acetyltransferase 35, NatC auxiliary subunit [Source:MGI Symbol;Acc:MGI:1925939]"
RPL10A,human,ENSG00000198755,ENSMUSG00000037805,Rpl10a,mouse,ribosomal protein L10A [Source:MGI Symbol;Acc:MGI:1343877]
PMPCB,human,ENSG00000105819,ENSMUSG00000029017,Pmpcb,mouse,peptidase (mitochondrial processing) beta [Source:MGI Symbol;Acc:MGI:1920328]
Zfp800,human,,,,mouse,
GPR124,human,,,,mouse,
ACOT13,human,ENSG00000112304,ENSMUSG00000006717,Acot13,mouse,acyl-CoA thioesterase 13 [Source:MGI Symbol;Acc:MGI:1914084]
Pa2g4,human,ENSG00000170515,ENSMUSG00000025364,Pa2g4,mouse,proliferation-associated 2G4 [Source:MGI Symbol;Acc:MGI:894684]
Ddx23,human,ENSG00000174243,ENSMUSG00000003360,Ddx23,mouse,DEAD box helicase 23 [Source:MGI Symbol;Acc:MGI:1921601]
PPA1,human,ENSG00000180817,ENSMUSG00000020089,Ppa1,mouse,pyrophosphatase (inorganic) 1 [Source:MGI Symbol;Acc:MGI:97831]
ADSL,human,ENSG00000239900,ENSMUSG00000022407,Adsl,mouse,adenylosuccinate lyase [Source:MGI Symbol;Acc:MGI:103202]
SLC4A7,human,ENSG00000033867,ENSMUSG00000021733,Slc4a7,mouse,"solute carrier family 4, sodium bicarbonate cotransporter, member 7 [Source:MGI Symbol;Acc:MGI:2443878]"
MUT,human,ENSG00000146085,ENSMUSG00000023921,Mmut,mouse,methylmalonyl-Coenzyme A mutase [Source:MGI Symbol;Acc:MGI:97239]
PRKRA,human,ENSG00000180228,ENSMUSG00000002731,Prkra,mouse,"protein kinase, interferon inducible double stranded RNA dependent activator [Source:MGI Symbol;Acc:MGI:1344375]"
Srsf9,human,ENSG00000111786,ENSMUSG00000029538,Srsf9,mouse,serine and arginine-rich splicing factor 9 [Source:MGI Symbol;Acc:MGI:104896]
C19orf66,human,,,,mouse,
PSMA4,human,ENSG00000041357,ENSMUSG00000032301,Psma4,mouse,proteasome subunit alpha 4 [Source:MGI Symbol;Acc:MGI:1347060]
Sar1a,human,ENSG00000079332,ENSMUSG00000020088,Sar1a,mouse,secretion associated Ras related GTPase 1A [Source:MGI Symbol;Acc:MGI:98230]
Pdha1l1,human,,,,mouse,
Actr3,human,ENSG00000115091,ENSMUSG00000026341,Actr3,mouse,ARP3 actin-related protein 3 [Source:MGI Symbol;Acc:MGI:1921367]
